Customer ID,Customer Status,Date Order was placed,Delivery Date,Order ID,Product ID,Quantity Ordered,Total Retail Price for This Order,Cost Price Per Unit
42663,Silver,08-Oct-18,18-Oct-18,123375395,230100600031,1,88.5,42.45
65719,Gold,14-Jun-18,19-Jun-18,123303499,220101400197,3,105.6,15.8
35902,Silver,14-May-17,14-May-17,123032105,220200300136,1,35.8,16.3
10352,Gold,22-Sep-18,22-Sep-18,123364542,240100100638,1,39.3,16.45
53969,Silver,25-Aug-21,29-Aug-21,124380795,240600100195,2,54.0,11.55
9244,Silver,27-Jun-21,27-Jun-21,124243766,220200100153,3,144.6,24.2
11701,Silver,22-Mar-21,22-Mar-21,124165228,220100300009,1,84.8,33.9
38024,Silver,10-Aug-21,10-Aug-21,124343261,220200100115,2,296.2,74.15
16386,Silver,11-Mar-17,12-Mar-17,123082515,240500200077,1,50.7,21.15
10264,SILVER,06-May-21,06-May-21,124270070,240600100041,2,4.8,1.0
28469,Silver,22-Jun-20,05-Jul-20,123902929,220200200011,2,172.4,39.25
64611,Silver,28-Oct-18,28-Oct-18,123408739,220101400392,1,104.2,47.4
21395,Silver,16-Mar-19,16-Mar-19,123581719,230100700008,1,514.2,250.7
70869,Silver,21-Aug-19,21-Aug-19,123678687,240600100080,2,59.8,9.05
32846,Gold,13-May-19,18-May-19,123563490,220101400116,1,76.4,34.85
18818,Gold,29-Mar-21,31-Mar-21,124132576,240100400060,1,127.4,97.1
51702,Silver,15-Mar-18,17-Mar-18,123294133,230100200063,1,13.1,5.6
51496,Gold,05-Jan-19,05-Jan-19,123470131,220200100145,2,222.6,55.75
51628,Gold,21-Feb-20,26-Feb-20,123819758,240100300001,2,72.2,18.2
37390,Silver,06-Jan-18,06-Jan-18,123248411,220100800033,1,39.6,18.9
79053,Gold,14-Oct-17,14-Oct-17,123171799,220200300161,1,22.6,9.65
1419,Gold,07-Sep-17,12-Sep-17,123168903,240100400046,1,328.3,165.95
36999,Silver,03-Mar-19,03-Mar-19,123545945,220200200032,1,97.3,44.25
73595,Silver,18-Mar-21,18-Mar-21,124127543,220200200067,1,92.5,40.25
29751,Silver,26-Aug-21,26-Aug-21,124382492,240100100206,5,99.5,8.95
76205,Silver,27-Oct-20,27-Oct-20,124015953,220100700052,1,120.4,57.3
56675,Gold,08-Jan-18,08-Jan-18,123258013,210200800003,1,22.6,11.4
25387,SILVER,21-Oct-21,21-Oct-21,124388712,210200100018,1,40.9,18.05
32073,Silver,07-Jul-20,07-Jul-20,123919087,220100800042,2,47.8,11.4
89345,Silver,18-Nov-21,18-Nov-21,124350906,240100300006,1,53.0,23.45
44052,Silver,08-Apr-19,08-Apr-19,123518792,220100100589,1,36.1,18.15
44459,Silver,12-Jul-19,12-Jul-19,123673829,220101400147,2,34.8,8.0
57305,Silver,30-May-17,11-Jun-17,123023186,240100100581,1,27.5,11.35
2511,Silver,30-Aug-18,30-Aug-18,123316657,230100100043,1,84.4,33.85
64934,GOLD,17-Sep-19,17-Sep-19,123754376,220101200001,1,54.2,21.75
73305,GOLD,11-Aug-17,12-Aug-17,123118306,240500100054,2,141.0,28.25
34435,GOLD,23-Oct-20,23-Oct-20,124080891,220101300001,1,33.6,14.95
38803,Silver,27-Jan-19,27-Jan-19,123494510,210200900020,1,24.9,9.95
74183,Silver,02-Aug-20,02-Aug-20,123926109,240600100103,2,91.4,18.95
