Customer ID,Customer Status,Date Order was placed,Delivery Date,Order ID,Product ID,Quantity Ordered,Total Retail Price for This Order,Cost Price Per Unit
2227,Silver,01-Jul-19,01-Jul-19,123659029,220200200057,2,124.6,28.35
77024,Silver,01-Aug-21,03-Aug-21,124260377,220200300112,2,11.8,2.7
74667,SILVER,14-Aug-18,14-Aug-18,123309709,210200600006,2,37.0,8.45
77052,Silver,31-May-19,31-May-19,123551911,220101400232,1,35.1,16.0
14752,Gold,10-Feb-19,10-Feb-19,123435999,220101400181,1,49.5,22.1
94183,Silver,12-Jul-21,12-Jul-21,124280053,210200300041,2,23.8,6.0
70526,Silver,20-Nov-21,20-Nov-21,124367259,240100100393,1,165.2,75.5
28477,SILVER,25-Jun-21,30-Jun-21,124223828,220200300082,3,213.0,32.3
32004,Gold,27-May-21,27-May-21,124267418,240100100737,3,143.7,20.65
91565,Gold,21-May-19,21-May-19,123548684,240600100141,2,83.0,16.65
48119,Gold,30-Jan-21,02-Feb-21,124104737,230100500056,1,8.0,3.5
53571,Silver,11-Jul-21,11-Jul-21,124274946,240700100007,3,68.55,9.3
9721,SILVER,07-Aug-17,12-Aug-17,123198700,240500100027,2,91.0,20.2
88583,Gold,19-Sep-21,19-Sep-21,124303838,230100700002,2,440.0,135.0
613,Gold,18-Aug-20,20-Aug-20,123956692,240800100097,1,158.4,67.5
82588,SILVER,24-Jun-20,24-Jun-20,123916129,220100300018,1,25.6,12.1
51185,Gold,29-Aug-20,29-Aug-20,124040853,240100100594,3,36.3,5.1
30106,Gold,08-Jan-18,08-Jan-18,123257317,240400300026,1,92.7,40.3
10519,SILVER,11-Jul-19,13-Jul-19,123664351,220200300116,2,168.4,38.35
4016,Gold,03-Aug-20,09-Aug-20,123932576,220101200015,5,122.0,10.6
35877,Gold,15-Feb-17,15-Feb-17,123052777,220100100530,1,52.2,26.2
48757,Gold,10-Nov-19,12-Nov-19,123701739,240400200095,2,447.2,101.6
22085,Silver,05-Nov-19,05-Nov-19,123747440,220200100198,1,101.6,50.9
27494,Gold,18-Nov-21,18-Nov-21,124345918,240800200020,1,187.2,85.15
6802,GOLD,03-Mar-20,05-Mar-20,123812594,220100100203,1,85.0,42.6
73942,Silver,28-Mar-21,28-Mar-21,124118859,240700400031,1,63.0,31.6
80263,Silver,14-Nov-19,17-Nov-19,123732864,220101400235,1,54.3,24.7
30270,Silver,25-Mar-18,25-Mar-18,123260190,240100100333,1,25.1,10.05
51204,Gold,22-Dec-18,28-Dec-18,123470343,230100500082,1,126.1,58.6
80508,Gold,09-Apr-20,13-Apr-20,123804698,220101400238,1,56.9,25.95
52749,Silver,27-Nov-20,27-Nov-20,124065128,240800100047,1,359.2,149.5
28038,Gold,24-Mar-19,30-Mar-19,123562406,220100900021,1,113.5,54.55
38745,Silver,17-Jun-19,18-Jun-19,123625867,240500100039,3,103.5,15.4
90941,SILVER,25-Nov-19,25-Nov-19,123748227,240500100017,1,53.5,23.75
72509,Gold,27-May-19,27-May-19,123509089,240500200004,3,105.3,16.8
73468,Gold,20-Feb-17,20-Feb-17,123079136,240100400118,1,262.8,125.15
87568,GOLD,01-Oct-20,01-Oct-20,124006001,240600100181,1,37.4,16.3
72869,Gold,25-May-17,25-May-17,123093197,220200100117,1,187.9,94.05
2723,Silver,09-Sep-18,14-Sep-18,123382180,220200300012,1,85.0,38.65
54712,Silver,15-Dec-17,15-Dec-17,123114911,220200200027,2,197.6,42.95
808,Gold,22-Jul-17,22-Jul-17,123109029,240100400115,2,670.8,163.65
73272,Gold,22-May-20,22-May-20,123956071,240100400022,4,786.8,91.7
94078,Silver,06-Nov-21,06-Nov-21,124338637,240600100071,1,57.9,23.9
16343,Silver,28-Sep-18,02-Oct-18,123302781,240100100383,1,32.1,15.35
21634,Silver,10-Aug-21,10-Aug-21,124343121,220101400392,2,210.4,47.85
35799,Silver,15-Jun-21,15-Jun-21,124236739,240200100114,4,669.6,83.8
1388,Silver,22-Oct-18,22-Oct-18,123365127,240200100154,1,26.6,11.95
57012,Silver,14-Feb-20,18-Feb-20,123873219,240400200048,1,97.5,43.3
90552,Silver,28-Jul-17,28-Jul-17,123140261,220101400356,2,77.4,17.25
3189,Silver,29-Jun-20,29-Jun-20,123954081,220200200009,2,118.0,26.85
49099,Platinum,09-Oct-19,09-Oct-19,123773754,220200100011,1,61.9,55.85
1772,Silver,15-May-17,15-May-17,123038289,220100100205,1,68.0,34.1
75590,Silver,26-Sep-18,26-Sep-18,123393440,220100100193,1,26.2,13.2
75317,SILVER,17-Sep-21,20-Sep-21,124385904,240100300001,2,72.2,18.2
21187,GOLD,27-Dec-18,30-Dec-18,123402769,240400200035,2,133.4,30.25
85791,Gold,28-Aug-17,28-Aug-17,123111221,240500200091,1,10.2,4.9
72748,Silver,08-Dec-18,08-Dec-18,123477401,240100400142,1,161.4,80.85
87071,Silver,09-Sep-20,09-Sep-20,124029874,210200400060,1,64.8,32.5
53847,Gold,27-Jan-21,27-Jan-21,124179283,220101400412,1,54.0,26.95
3189,Silver,10-Jan-20,10-Jan-20,123885625,220100100618,1,49.5,24.85
85100,Silver,04-Oct-19,09-Oct-19,123725527,220200200022,1,57.3,33.9
